iter	RMSE
0	6.439820273
1	6.230176682
2	6.045734723
3	5.853188604
4	5.719583168
5	5.557562945
6	5.45631948
7	5.340840241
8	5.168283508
9	5.058389301
10	4.942920176
11	4.790730158
12	4.711459482
13	4.59118489
14	4.497755178
15	4.395799969
16	4.310151015
17	4.22276983
18	4.088572589
19	3.993504554
20	3.882905059
21	3.803495949
22	3.696163547
23	3.59453
24	3.515629423
25	3.440875369
26	3.382572344
27	3.326709821
28	3.23693471
29	3.155706011
30	3.090071771
31	3.026980144
32	2.966449431
33	2.897524596
34	2.826746126
35	2.755903522
36	2.712685678
37	2.675430714
38	2.617697287
39	2.547387815
40	2.485780696
41	2.426799454
42	2.385021271
43	2.337238277
44	2.260626501
45	2.19127998
46	2.145508468
47	2.084332745
48	2.033649043
49	1.997359752
50	1.97037381
51	1.935142776
52	1.893907664
53	1.843327983
54	1.816983141
55	1.780333581
56	1.757235692
57	1.70549722
58	1.661018341
59	1.61458963
60	1.586861275
61	1.560044174
62	1.518603879
63	1.482758821
64	1.457425738
65	1.43809233
66	1.418443316
67	1.396684219
68	1.360525779
69	1.327785476
70	1.289700818
71	1.253745951
72	1.236331587
73	1.217065148
74	1.183969334
75	1.164610495
76	1.149066782
77	1.133517314
78	1.092249842
79	1.053667575
80	1.03826276
81	1.023520288
82	1.0109904
83	0.9835990305
84	0.9717640386
85	0.9496618324
86	0.9278730563
87	0.8960317684
88	0.8664214111
89	0.8418551725
90	0.8157035937
91	0.7967083732
92	0.7774472678
93	0.7644358914
94	0.7424972249
95	0.7208383602
96	0.7007665955
97	0.6818695856
98	0.6650625403
99	0.6474911288
100	0.635628723
101	0.6190985898
102	0.6035220268
103	0.5889137693
104	0.5802148487
105	0.5725602334
106	0.5586863323
107	0.5441570604
108	0.5306054404
109	0.5176034645
110	0.5081633603
111	0.4998525462
112	0.4911575154
113	0.4848680463
114	0.4767008686
115	0.4707328798
116	0.4635262551
117	0.4491607396
118	0.4425613032
119	0.4371791053
120	0.4320024987
121	0.4179702787
122	0.4113163658
123	0.3960709023
124	0.3899981004
125	0.3833222763
126	0.371159655
127	0.3642411144
128	0.3573851086
129	0.3509789267
130	0.3424855357
131	0.330273294
132	0.3247143608
133	0.3145074647
134	0.3093628375
135	0.3001644305
136	0.2946938727
137	0.2875630029
138	0.277755893
139	0.2686600623
140	0.2648837867
141	0.2620973872
142	0.2529045873
143	0.2503193268
144	0.247864402
145	0.2394453898
146	0.2371450264
147	0.2308254431
148	0.2228800502
149	0.2198678277
150	0.21349105
151	0.2072038157
152	0.2009565579
153	0.195268398
154	0.1908240673
155	0.1853594689
156	0.1824901232
157	0.1797563798
158	0.1768170496
159	0.1716919532
160	0.1692389014
161	0.1643233502
162	0.1620467542
163	0.1574126813
164	0.1529849916
165	0.1506452523
166	0.146132566
167	0.1442159765
168	0.1394830741
169	0.1355146825
170	0.1315593096
171	0.1287443306
172	0.1259971546
173	0.1232968789
174	0.1202385411
175	0.1180498156
176	0.1141924252
177	0.1107916957
178	0.1088303718
179	0.1053775978
180	0.1025093013
181	0.09944817085
182	0.09726610697
183	0.09445302523
184	0.09150611808
185	0.08866298102
186	0.08635603269
187	0.08372019059
188	0.08109952042
189	0.07847768983
190	0.07600341148
191	0.07480086386
192	0.07250193209
193	0.07140161128
194	0.07004476888
195	0.06907840883
196	0.06701697819
197	0.06508820565
198	0.06422109797
199	0.06335436716
200	0.06240940591
201	0.06062081529
202	0.05976445958
203	0.05918581029
204	0.05859908187
205	0.05781556618
206	0.05727385759
207	0.05560010418
208	0.05493230382
209	0.05324431697
210	0.05252569618
211	0.05201454997
212	0.05031864706
213	0.04871979887
214	0.0472127431
215	0.04590353899
216	0.04460281216
217	0.04405976778
218	0.04287138395
219	0.04236507634
220	0.0411671432
221	0.04000714371
222	0.03870765786
223	0.03769709694
224	0.03676865101
225	0.03583621777
226	0.03498676064
227	0.03412662267
228	0.03341968741
229	0.0324668047
230	0.0315985989
231	0.03077665566
232	0.03000060621
233	0.02919168277
234	0.02855937239
235	0.0278633937
236	0.02718237523
237	0.02661530192
238	0.02590534962
239	0.02511994383
240	0.02460603326
241	0.02401914061
242	0.02343245728
243	0.02289207849
244	0.02235015408
245	0.02186763386
246	0.02127472323
247	0.02072391465
248	0.02026700383
249	0.02007185173
250	0.01969420495
251	0.01914388618
252	0.01867200107
253	0.01812086308
254	0.0175962171
255	0.01711320682
256	0.01662694861
257	0.01617582993
258	0.01581533231
259	0.01547325208
260	0.01516159308
261	0.014768205
262	0.0144625614
263	0.01399827195
264	0.01346810113
265	0.01305738183
266	0.01257893317
267	0.01232657868
268	0.01206549147
269	0.01181104809
270	0.01145446353
271	0.0111500112
272	0.01085723613
273	0.01054373425
274	0.01043818022
275	0.0101421741
276	0.009876506246
277	0.009627212637
278	0.009368876561
279	0.009088792598
280	0.008820895007
281	0.008588230772
282	0.008351508294
283	0.008107222006
284	0.007915427666
285	0.007756889456
286	0.007531958664
287	0.007337432065
288	0.007126524113
289	0.006966479036
290	0.006791357159
291	0.006631458091
292	0.006444469215
293	0.006258414948
294	0.006089006511
295	0.005958580663
296	0.005835926546
297	0.005717068755
298	0.005561787431
299	0.005452601179
300	0.005314320277
301	0.005260289405
302	0.00511597407
303	0.004980344667
304	0.00484920864
305	0.004748776743
306	0.004630862215
307	0.004481445746
308	0.00437181197
309	0.004232989624
310	0.004190402058
311	0.004089619689
312	0.003967272947
313	0.003840232231
314	0.003713626709
315	0.003625453369
316	0.00350961648
317	0.003400769631
318	0.003296640104
319	0.003197708211
320	0.003103127914
321	0.003027620031
322	0.002939921181
323	0.002855821385
324	0.002779885357
325	0.00270680815
326	0.002636466165
327	0.00256874276
328	0.002503527784
329	0.002422055804
330	0.002361792427
331	0.002303734726
332	0.002268421007
333	0.002213202658
334	0.002159862863
335	0.002108450223
336	0.002077799837
337	0.002029113906
338	0.00197058191
339	0.001924802953
340	0.001870355496
341	0.001823754336
342	0.001772575711
343	0.001731535223
344	0.001691969976
345	0.001643726743
346	0.001598494479
347	0.001562385423
348	0.001525164149
349	0.001491062886
350	0.001456060039
351	0.001423834924
352	0.001390911758
353	0.0013604522
354	0.001329478712
355	0.001300637533
356	0.001268934046
357	0.001240523089
358	0.001213334385
359	0.001184011706
360	0.001158435553
361	0.001129397111
362	0.001101309795
363	0.001078603879
364	0.00104740678
365	0.001010757198
366	0.0009829175057
367	0.0009562286391
368	0.0009312499265
369	0.000905885744
370	0.0008856410731
371	0.000866267772
372	0.0008477319195
373	0.0008254703662
374	0.0008073997745
375	0.0007853195294
376	0.0007642187902
377	0.0007483657138
378	0.0007250924046
379	0.0007073810745
380	0.0006903351695
381	0.0006739314663
382	0.0006577450475
383	0.0006422580188
384	0.0006272292532
385	0.000613273061
386	0.0005998968662
387	0.0005825546943
388	0.0005640029181
389	0.0005465957475
390	0.0005357725398
391	0.0005221731732
392	0.0005065959434
393	0.0004902339346
394	0.000474846561
395	0.0004631775315
396	0.0004490597218
397	0.0004357866734
398	0.0004248463625
399	0.0004115592523
400	0.0004030979495
401	0.0003943782376
402	0.0003843392901
403	0.0003748782459
404	0.0003627313557
405	0.0003554862051
406	0.0003446192598
407	0.0003363604134
408	0.0003274315396
409	0.0003171224016
410	0.0003093308529
411	0.0003008468274
412	0.0002941062699
413	0.0002859711736
414	0.0002782270973
415	0.0002682660321
416	0.0002612262848
417	0.0002521951656
418	0.0002437718015
419	0.0002359120494
420	0.0002289261557
421	0.0002232078676
422	0.0002210058609
423	0.0002188990337
424	0.0002133831396
425	0.0002081764048
426	0.0002030243987
427	0.0001980729892
428	0.000193138052
429	0.0001887968417
430	0.0001842884696
431	0.0001798732728
432	0.0001759199157
433	0.0001713970494
434	0.0001664503985
435	0.0001628227628
436	0.0001586952163
437	0.0001546119069
438	0.0001510000877
439	0.0001473543603
440	0.0001438726843
441	0.0001400876468
442	0.0001368098394
443	0.0001329326463
444	0.0001297660974
445	0.0001261638446
446	0.0001227434393
447	0.0001198725647
448	0.0001166966756
449	0.0001131151327
450	0.0001102581381
451	0.0001075811536
452	0.0001044047489
453	0.0001019523446
454	9.96547294e-05
455	9.683414863e-05
456	9.475025622e-05
457	9.279452014e-05
458	9.08436337e-05
459	8.860279835e-05
460	8.592421551e-05
461	8.351627815e-05
462	8.168708744e-05
463	7.969173595e-05
464	7.731832165e-05
465	7.52993054e-05
466	7.367653517e-05
467	7.215947543e-05
468	7.031972089e-05
469	6.85495238e-05
470	6.68461453e-05
471	6.520697548e-05
472	6.362952636e-05
473	6.202044378e-05
474	6.041163639e-05
475	5.890279747e-05
476	5.749456717e-05
477	5.618648098e-05
478	5.427476399e-05
479	5.292874293e-05
480	5.156029891e-05
481	4.995091405e-05
482	4.900938851e-05
483	4.761015439e-05
484	4.646259166e-05
485	4.516223175e-05
486	4.431033967e-05
487	4.308235122e-05
488	4.189027566e-05
489	4.077759043e-05
490	3.938259033e-05
491	3.824589514e-05
492	3.740340128e-05
493	3.692706394e-05
494	3.635403825e-05
495	3.558351834e-05
496	3.505217951e-05
497	3.416399663e-05
498	3.324084751e-05
499	3.251773786e-05
500	3.202501139e-05
501	3.126107282e-05
502	3.059027903e-05
503	2.983719387e-05
504	2.904228789e-05
505	2.827359242e-05
506	2.753217045e-05
507	2.683062745e-05
508	2.615615308e-05
509	2.544605548e-05
510	2.48490928e-05
511	2.447558929e-05
512	2.410438956e-05
513	2.316002139e-05
514	2.262476439e-05
515	2.185364335e-05
516	2.101842783e-05
517	2.047875871e-05
518	1.97124292e-05
519	1.90424498e-05
520	1.855615894e-05
521	1.788241013e-05
522	1.729268834e-05
523	1.685593258e-05
524	1.649887575e-05
525	1.613616601e-05
526	1.569250103e-05
527	1.533428039e-05
528	1.499054842e-05
529	1.465301631e-05
530	1.421005612e-05
531	1.370683978e-05
532	1.343536942e-05
533	1.3041449e-05
534	1.26678601e-05
535	1.236718299e-05
536	1.192125378e-05
537	1.161823868e-05
538	1.135087149e-05
539	1.103897082e-05
540	1.077925858e-05
541	1.055166727e-05
542	1.033427871e-05
543	1.012663333e-05
544	9.816368252e-06
545	9.569867042e-06
546	9.293263213e-06
547	9.052721017e-06
548	8.762792301e-06
549	8.489431217e-06
550	8.274719356e-06
551	8.005460017e-06
552	7.763761613e-06
553	7.598623013e-06
554	7.449582251e-06
555	7.284342316e-06
556	7.146768433e-06
557	6.959886711e-06
558	6.774606509e-06
559	6.617192021e-06
560	6.448106663e-06
561	6.270298315e-06
562	6.130997461e-06
563	6.02926198e-06
564	5.898591877e-06
565	5.800116057e-06
566	5.676646646e-06
567	5.583577831e-06
568	5.451825862e-06
569	5.311554846e-06
570	5.200630127e-06
571	5.074572236e-06
572	4.937328093e-06
573	4.816615428e-06
574	4.665321121e-06
575	4.547202802e-06
576	4.397942263e-06
577	4.277888023e-06
578	4.135835259e-06
579	4.024014038e-06
580	3.926733644e-06
581	3.806498987e-06
582	3.737890263e-06
583	3.638241663e-06
584	3.542506397e-06
585	3.458906632e-06
586	3.379256491e-06
587	3.319436063e-06
588	3.249140908e-06
589	3.176229161e-06
590	3.115705535e-06
591	3.061761823e-06
592	3.005453755e-06
593	2.942769836e-06
594	2.877976442e-06
595	2.826191893e-06
596	2.779148916e-06
597	2.721821981e-06
598	2.663296977e-06
599	2.588406826e-06
600	2.544707829e-06
601	2.50284515e-06
602	2.462521113e-06
603	2.383836134e-06
604	2.330981009e-06
605	2.261991644e-06
606	2.214443042e-06
607	2.139307595e-06
608	2.071673763e-06
609	2.037658983e-06
610	2.005080477e-06
611	1.944384158e-06
612	1.897689331e-06
613	1.839777018e-06
614	1.788635056e-06
615	1.739418451e-06
616	1.695190108e-06
617	1.660796158e-06
618	1.627456444e-06
619	1.582713526e-06
620	1.539647188e-06
621	1.490456868e-06
622	1.464970208e-06
623	1.410305846e-06
624	1.377696077e-06
625	1.338726322e-06
626	1.311608746e-06
627	1.285650599e-06
628	1.256986921e-06
629	1.232817594e-06
630	1.20890776e-06
631	1.168467142e-06
632	1.135688785e-06
633	1.117673953e-06
634	1.090521631e-06
635	1.057517673e-06
636	1.030211942e-06
637	1.002187898e-06
638	9.756117097e-07
639	9.6010249e-07
640	9.359658107e-07
641	9.214936153e-07
642	8.970064803e-07
643	8.715863765e-07
644	8.507754231e-07
645	8.310576476e-07
646	8.063582164e-07
647	7.881646886e-07
648	7.627118879e-07
649	7.385865809e-07
650	7.156794273e-07
651	6.953519262e-07
652	6.744339666e-07
653	6.666930585e-07
654	6.487091307e-07
655	6.277541616e-07
656	6.040280355e-07
657	5.839901104e-07
658	5.738527503e-07
659	5.641823068e-07
660	5.50534584e-07
661	5.343384097e-07
